"Adv Number","Property Address","Assessed Value","Face Amount","Winning Bid","Winning Bidder Name","Winning Premium","Winning Amount Due"
38,"**ES 20 FT ALLEY 1ST E OF CHELSEA TER REAR 3017 CHEL",1400.00,345.44,345.44,City,,
39,"**ES 20 FT ALLEY 1ST E OF CHELSEA TER REAR 3019 CHEL",1900.00,1193.35,1193.35,City,,
40,"**ES 20 FT ALLEY 1ST E OF N SMALLWOOD ST REAR 1715 N",3000.00,6759.51,6759.51,City,,
41,"**ES 20 FT ALLEY 1ST W OF GWYNN OAK AV REAR 3602 GWY",44967.00,2397.88,2397.88,City,,
42,"**ES 22 FT ALLEY 1ST E OF WELBOURNE RD 41-8 FT N OF",2000.00,850.36,850.36,City,,
43,"**ES 4TH ST 75 FT S OF JACK ST",21000.00,285.68,285.68,City,,
44,"**HILL ST CIRCLE S END OF WINDER ST",26700.00,804.62,804.62,City,,
45,"**NE E 25< ST 231 FT W OF BARCLAY ST",25800.00,754.54,754.54,City,,
46,"**NEC N. CHESTER ST & ASHLAND AVE 335 E THEN 89FT N",4010400.00,368.20,368.20,City,,
47,"**NES ARMSTRONG AV NEC RIDGE AV",2700.00,5965.15,5965.15,City,,
48,"**NES ARMSTRONG AV 175 FT N OF RIDGE AV",4300.00,8558.09,8558.09,City,,
49,"**NES ARMSTRONG AV 200 FT N OF RIDGE AV",4000.00,8000.22,8000.22,City,,
50,"**NES ARMSTRONG AV 25 FT S OF RIDGE AV",2700.00,817.32,817.32,City,,
51,"**NES ARMSTRONG AV 250 FT N OF RIDGE AV",3400.00,7786.44,7786.44,City,,
52,"**NES ARMSTRONG AV 50 FT S OF RIDGE AV",2700.00,817.32,817.32,City,,
53,"**NES ARMSTRONG AVE SEC RIDGE AVE",2700.00,817.32,817.32,City,,
54,"**NES BENHURST RD 110-1 SE TEMPLE GATE",0.00,1036.62,1036.62,City,,
55,"**NES CARSWELL ST 16 FT NW OF POLK ST",1000.00,149281.03,149281.03,City,,
56,"**NES CARSWELL ST 48 FT NW OF POLK ST",1000.00,58623.98,58623.98,City,,
57,"**NES GIBBONS AV 115'NW WALTHER AVE",11300.00,370.28,500.00,503,0.00,370.28
58,"**NES GREENSPRING AVE SEC DERBY RD",6000.00,379.63,379.63,City,,
59,"**NES HUTTON AV 643-3 FT SE OF OAK DR",8000.00,516.75,516.75,City,,
60,"**NES MARX AVE 140-4 FT NW OF BELAIR RD",1200.00,5077.52,5077.52,City,,
61,"**NES ORLANDO AV 1059-6FT SE OF HARFORD RD",2000.00,361.74,361.74,City,,
62,"**NES 10 FT ALLEY 1ST NE CLIFTON PK TER 159-9 FT NW",1000.00,273.21,273.21,City,,
63,"**NES 10 FT ALLEY 1ST NE OF CLIFTON PK. TER 139-9 FT",1000.00,3221.50,3221.50,City,,
64,"**NES 10' AL - 1ST SW SPRINGWOOD AV158' SE BELAIR RO",27300.00,632.33,632.33,City,,
65,"**NES 12 FT ALLEY 1ST NE OF ERDMAN AV 126FT NW OF PA",1700.00,476.98,476.98,City,,
66,"**NES 15 ' ALLEY 1ST NEC E 6TH ST REAR 3911-4017 6TH",17200.00,4319.89,4319.89,City,,
67,"**NES 15 FT ALLEY 1ST NE OF SEQUOIA AV 3226 SEQUOIA",1600.00,320.92,320.92,City,,
68,"**NES 15 FT ALLEY 1ST NE SEQUOIA AV REAR 3246 SEQUOI",1600.00,1579.85,1579.85,City,,
69,"**NES 20 FT ALLEY 1ST NE OF AISQUITH ST REAR 2637-47",89100.00,1181.73,1181.73,City,,
70,"**NS BAYONNE AV 287-6 FT E OF WHITE AV",11000.00,361.80,600.00,153,0.00,361.80
71,"**NS E NORTH AV 184-3 FT W OF ST. PAUL ST",48800.00,482.79,482.79,City,,
72,"**NS E 25< ST 114-10 FT W OF BARCLAY ST",25100.00,734.31,734.31,City,,
73,"**NS E 33RD ST 215 FT EAST OF OLD YORK RD",9000.00,908.54,908.54,City,,
74,"**NS E 36TH ST 114 FT W OF OLD YORK RD",100.00,541.90,541.90,City,,
75,"**NS GOODALE RD 357-6 FT E OF CHARLES ST",37000.00,985.50,985.50,City,,
76,"**NS GOUGH ST NWC HAVEN ST",51400.00,1406.35,1406.35,City,,
77,"**NS GROVELAND AV NEC N ROGERS AV",12700.00,96030.22,96030.22,City,,
78,"**NS HILLCREST AV 183 FT E FIFTH ST",21100.00,495.59,500.00,435,0.00,495.59
79,"**NS HOLABVIRD AVE NWC IRIS AVE",0.00,16429.60,16429.60,City,,
80,"**NS HOLLINS ST NEC WARWICK AV",1800.00,2287.64,2287.64,City,,
81,"**NS HUTCHINS AV 150-8 FT E OF YORK RD",32533.00,635.41,640.00,435,0.00,635.41
82,"**NS LANGLEY ST 110 E MAISEL ST",3300.00,334.57,334.57,City,,
84,"**NS MORLING AVE NWC CONDUIT AVE",2500.00,370.55,370.55,City,,
85,"**NS MOSHER ST NEC WHITEMORE AV",5300.00,10088.13,10088.13,City,,
86,"**NS MULLINS ST REAR 1322-30 N FULTON AV",1000.00,17029.99,17029.99,City,,
87,"**NS W GARRISON AV 217-3 FT NE OF ELMER AV",1000.00,9706.34,9706.34,City,,
88,"**NS W NORTHERN PKWY 306-7 FT E OF FALLS RD",532833.00,15187.97,22000.00,349,0.00,15187.97
89,"**NS W PATAPSCO AV NWC PATAPSCO RIVER",215800.00,201926.37,201926.37,City,,
90,"**NS WOODBOURNE AV 174-3 FT W OF NORTHWOOD DR",3700.00,1169.89,1169.89,City,,
91,"**NS 10 FT ALLEY N OF ROLLINS AVE 178-8 FT W OF GRAN",700.00,385.57,385.57,City,,
92,"**NS 10 FT ALLEY 1ST N OF CHASE ST REAR 2710-32 E CH",118400.00,2144.39,2144.39,City,,
93,"**NS 10 FT ALLEY 1ST N OF FAIRMOUNT AV REAR 0000 273",16900.00,517.87,517.87,City,,
94,"**NS 10 FT ALLEY 1ST N OF PRESBURY ST 158 FT E OF N",3000.00,6934.07,6934.07,City,,
95,"**NS 10 FT ALLEY 1ST S OF ORLEANS ST REAR 227-29 N C",73300.00,12914.46,12914.46,City,,
96,"**NS 12FT AL 1ST NW FREDERICK AVE 73-8FT SW MCPHAIL",8200.00,365.14,365.14,City,,
97,"**NS 13 FT ALLEY 1ST N OF ROKEBY RD 4616-48 ROKEBY R",25800.00,739.28,739.28,City,,
98,"**NS 15 FT ALLEY 1ST E OF READY AVE REAR 5601-25 REA",11900.00,11233.04,11233.04,City,,
99,"**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2614-18 FE",4100.00,3574.09,3574.09,City,,
100,"**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2620-22 FE",2600.00,1853.11,1853.11,City,,
101,"**NS 15 FT ALLEY 1ST N OF MONTPELIER ST REAR 2642-44",17000.00,475.34,475.34,City,,
102,"**NS 16 FT ALLEY 1ST N OF DULANY ST 94-3 FT E OF PRI",400.00,1974.83,1974.83,City,,
103,"**NS 20 FT ALLEY 1ST N OF CLIFTON AV REAR 2100-02 N",16200.00,11480.70,11480.70,City,,
104,"**NS 20 FT ALLEY 1ST N OF ELGIN AV 175 FT E OF ROSED",3400.00,351.13,351.13,City,,
105,"**NS 20 FT ALLEY 1ST N OF ELGIN AVE 219 FT E OF ROSE",4100.00,1096.29,1096.29,City,,
106,"**NS 20 FT LANE 1ST NE OF PICKWICK RD REAR 2533 PICK",10600.00,4609.77,4609.77,City,,
107,"**NS 20FT ALLEY 1ST N OF W LANVALE ST 95 FT E OF DUK",1100.00,5671.01,5671.01,City,,
108,"**NS 9 FT ALLEY 1ST N OF E 21ST ST REAR 420-34 E 21S",1000.00,1782.95,1782.95,City,,
109,"**NWC EDMONSON AVE. AND SWANN AVE.",10300.00,291.12,291.12,City,,
110,"**NWS AYLESHIRE RD SWC WAVERLY WAY",11200.00,314.47,325.00,503,0.00,314.47
111,"**NWS BALTIMORE HARBOR TUNNELL R/W 1375 FT NE OF E L",0.00,1432.97,1432.97,City,,
112,"**NWS GLEN FALLS AV 616-11 FT SW OF POWELL",2000.00,3641.45,3641.45,City,,
114,"**NWS MORTIMER AV 360 FT NE OF REISTERSTOWN RD",7400.00,441.12,441.12,City,,
115,"**NWS OLD HARFORD RD 275-7 FT SW OF CREIGHTON AV",29300.00,877.98,980.00,349,0.00,877.98
116,"**NWS RIDGE AV 110 FT NE OF ARMSTRONG AV",800.00,682.40,682.40,City,,
117,"**NWS WALTHER AV NEC WINTHROPE AV",11800.00,1245.98,1245.98,City,,
118,"**NWS WINTHROPE AV 787-6 FT N OF KEENE AV",12400.00,902.22,902.22,City,,
119,"**NWS 10 FT ALLEY 1ST NW OF TIOGA PKWY 139-5 FT SW O",1400.00,735.63,735.63,City,,
120,"**NWS 10 FT ALLEY 1ST NW OF W BELVEDERE AV 85-6 FT N",9400.00,843.27,843.27,City,,
121,"**NWS 15 FT ALLEY 1ST NW OF GWYNNS FALLS0000Y REAR 3",4000.00,1572.23,1572.23,City,,
123,"**REAR ES HUNT CLUB LA REAR 6005 HUNT CLUB LA",10600.00,57587.99,57587.99,City,,
125,"**REAR NWS LEHMAN ST REAR 2652 LEHMAN ST",1000.00,690.08,690.08,City,,
126,"**REAR NWS SPRING AV REAR 4400 SPRING AV",100.00,21967.60,21967.60,City,,
127,"**REAR SES OLYMPIA AV REAR 3309 OLYMPIA AV",300.00,639.89,639.89,City,,
128,"**REAR SS BAYARD ST REAR 1320 BAYARD ST",32733.00,973.46,3601.00,372,0.00,973.46
130,"**REAR SWS DUNDALK AVE REAR 1002-1004 DUNDALK AVE KN",200900.00,1146.16,1146.16,City,,
131,"**REAR WS S COLLINS AV REAR 518 S COLLINS AV",2900.00,300.61,300.61,City,,
132,"**REAR WS S CONKLING ST REAR 300-10 S CONKLING ST",137800.00,3309.50,26000.00,349,0.00,3309.50
133,"**REAR-SS-MCELDERRY ST REAR-2113,2115 MCELDERRY ST",3400.00,339.39,339.39,City,,
134,"**SE END ROYSTON AV 106-7FT SE OF EUNICE AV",12700.00,409.72,410.00,503,0.00,409.72
135,"**SES ASHTON ST 238 FT E OF MILLINGTON AV",7000.00,3065.34,3065.34,City,,
136,"**SES BELAIR RD SEC ROSE ST",1000.00,772.49,772.49,City,,
137,"**SES BELAIR RD 151-11NE VONDERHORST LA",1000.00,772.49,772.49,City,,
138,"**SES HILL ST 135'S WINDER ST",18100.00,562.06,562.06,City,,
139,"**SES SCHLEY AV 225 FT SW OF MARX AV",4500.00,866.68,866.68,City,,
140,"**SES VINEWOOD PL 200' S OVERCREST AVE",11700.00,381.52,381.52,City,,
141,"**SES 10 FT ALLEY 1ST SE OF PHELPS LA REAR 3231-43 P",7400.00,1903.49,1903.49,City,,
142,"**SES 10 FT ALLEY 1ST SE OF RICHMOND AV REAR 3325 RI",1300.00,1269.90,1269.90,City,,
143,"**SES 10 FT ALLEY 1ST SE W COLD SPRING LA 145FT NE R",409900.00,834.46,100000.00,349,0.00,834.46
144,"**SES 15 FT ALLEY 1ST E OF WABASH AV REAR 3515 WABAS",1700.00,12577.21,12577.21,City,,
145,"**SES 15 FT ALLEY 1ST E OF WABASH AV REAR 3603 WABAS",1700.00,559.93,559.93,City,,
146,"**SES 15' ALLEY 1ST SE PARKLAWN AVE REAR 3521/25 PAR",3900.00,19176.05,19176.05,City,,
147,"**SES 16 FT ALLEY 1ST N OF GLENMORE AV 179 FT NE OF",13200.00,423.82,423.82,City,,
148,"**SES 18 FT ALLEY 1ST W OF AIKEN ST REAR 1802 AIKEN",1000.00,8192.67,8192.67,City,,
150,"**SES 20 FT ALLEY 1ST SE OF WOODHAVEN AV 702-8FT SW",1000.00,653.19,653.19,City,,
153,"**SES 20 FT ALLEY 1ST SE WOODHAVEN AV 452 FT SW OF M",1900.00,770.60,900.00,27,25.00,795.60
154,"**SS BRIGHTON ST 95 FT E OF SMALLWOOD ST",12000.00,532.72,532.72,City,,
155,"**SS BUSHEY ST 800 FT E OF DUNDALK AV 0000",21800.00,512.03,515.00,435,0.00,512.03
156,"**SS CLENDENIN ST 87'6 E MCCULLOH ST",2700.00,579.58,579.58,City,,
157,"**SS CORDING AVE 165-9 FT E YORK RD0000",16700.00,456.90,456.90,City,,
158,"**SS DANVILLE AV 335 FT E OF CHARLOTTE AV",21800.00,604.76,604.76,City,,
159,"**SS DANVILLE AV 360 FT E OF CHARLOTTE AV",21800.00,604.76,604.76,City,,
160,"**SS E BIDDLE ST 2272 FT E OF EDISON HWY",0.00,584.98,584.98,City,,
162,"**SS ELMTREE ST 180 FT W OF FAIRHAVEN AV",4000.00,2672.27,2672.27,City,,
163,"**SS FLEET ST 100 FT E OF TOLNA ST",8400.00,591.25,591.25,City,,
164,"**SS HAZELWOOD AV 425 FT E OF WHITE AV",10100.00,1919.10,1919.10,City,,
165,"**SS MCCABE AV 343-7 FT W OF MIDWOOD AV",11000.00,361.80,361.80,City,,
167,"**SS MONROE CIRCLE 570 FT SW OF EVERETT ST",9900.00,302.99,305.00,503,0.00,302.99
168,"**SS MONROE CIRCLE 600 FT SW OF EVERETT ST",9900.00,302.99,305.00,503,0.00,302.99
169,"**SS MONROE CIRCLE 630 FT SW OF EVERETT ST",9900.00,302.99,305.00,503,0.00,302.99
170,"**SS OF E. PRESTON ST. SEC OF WILCOX ST.",1000.00,6469.70,6469.70,City,,
171,"**SS OF W GARRISON AV 153 FT E OF REISTERSTOWN RD",3000.00,35456.37,35456.37,City,,
172,"**SS RIDGEWOOD AV 498-4FT E OF GARRISON BLVD",1200.00,49922.80,49922.80,City,,
173,"**SS RIVERSIDE RD SEC LEVIN RD",11400.00,315.54,315.54,City,,
174,"**SS RIVERSIDE RD 100 FT E OF LEVIN RD",11400.00,315.54,315.54,City,,
175,"**SS RIVERSIDE RD 125 FT E OF LEVIN RD",18333.00,716.97,716.97,City,,
176,"**SS RIVERSIDE RD 25 FT E OF LEVIN RD",11400.00,315.54,315.54,City,,
177,"**SS RIVERSIDE RD 50 FT E OF LEVIN RD",11400.00,315.54,315.54,City,,
178,"**SS RIVERSIDE RD 75 FT E OF LEVIN RD",11400.00,315.54,315.54,City,,
180,"**SS WARD ST. 236FT SW OF OSTEND ST.",20000.00,566.39,566.39,City,,
181,"**SS 10 FT AL 1ST S MCHENRY ST REAR2523-37 MCHENRY S",1000.00,365.21,365.21,City,,
182,"**SS 10 FT ALLEY 1ST N OF MONUMENT ST 56-7FT W OF BR",7000.00,443.76,443.76,City,,
183,"**SS 10 FT ALLEY 1ST S MCHENRY ST REAR 2519-21 MCHEN",1000.00,290.30,290.30,City,,
184,"**SS 10 FT ALLEY 1ST S OF NORTH AV REAR 1616 EARECKS",1000.00,2129.96,2129.96,City,,
185,"**SS 10 FT ALLEY 2ND N OF LAFAYETTE AV REAR 1326 W L",1000.00,398.50,398.50,City,,
186,"**SS 10FT AL 1ST S OF W NORTH AVE 115 FT W OF N SMAL",2200.00,7439.96,7439.96,City,,
187,"**SS 12 FT ALLEY 1ST S OF E COLD SPRING LA 76-10 FT",1600.00,374.56,374.56,City,,
188,"**SS 15 FT ALLEY 1ST N OF EDMONDSON AV 100 FT W OF H",1000.00,881.19,881.19,City,,
189,"**SS 15 FT ALLEY 1ST S CROFTON RD 0000 REAR 1301-61",100.00,482.79,482.79,City,,
190,"**SS 15 FT ALLEY 1ST S OF MOSHER ST REAR 2415-17 MOS",2100.00,578.88,578.88,City,,
191,"**SS 15 FT ALLEY 1ST S OF NORTH AV REAR 1618-20 EARE",1000.00,2129.96,2129.96,City,,
192,"**SS 15 FT ALLEY 1ST S OF NORTH AV REAR 1830-34 N BR",1000.00,2129.96,2129.96,City,,
193,"**SS 15 FT ALLEY 1ST S OF NORTH AVE REAR 1801-1807 N",1000.00,2129.96,2129.96,City,,
194,"**SS 15 FT ALLEY 1ST S OFEDGECOMBE CIRCLE SOUTH REAR",500.00,604.64,604.64,City,,
195,"**SS 15 FT ALLEY 2ND N OF WINDSOR A0000 3110-20 WIND",10700.00,19063.65,19063.65,City,,
197,"**SS 20 FT ALLEY 1ST S GWYNNS FALLS PKWY 220-9 FT E",1900.00,777.69,777.69,City,,
198,"**SS 20 FT ALLEY 1ST S OF GWYNNS FALLS PKWY REAR 312",4300.00,35532.16,35532.16,City,,
199,"**SS 30 FT STREET 1ST N FRANKLE ST REAR 404-406 FRAN",12967.00,343.99,343.99,City,,
200,"**SS 9 FT ALLEY 1ST S OF GOUGH ST REAR 305 S CASTLE",45500.00,1209.62,1209.62,City,,
201,"**SWS ARMSTRONG AV 125 FT S OF SPRING AV",2700.00,817.32,817.32,City,,
202,"**SWS ARMSTRONG AV 225 FT S OF SPRING AV",2700.00,817.32,817.32,City,,
203,"**SWS ARMSTRONG AV 250 FT S OF SPRING AV",2700.00,817.32,817.32,City,,
204,"**SWS ARMSTRONG AV 275 FT S OF SPRING AV",5400.00,8260.23,8260.23,City,,
205,"**SWS BRUNT ST 72' SE OF GOLD ST",1000.00,1190.28,1190.28,City,,
206,"**SWS CLIFTON AV SWC TALBOT ST 0000",11000.00,300.02,300.02,City,,
207,"**SWS CLIFTVIEW AV 42 FT SE OF SHERWOOD AV",1000.00,2362.04,2362.04,City,,
208,"**SWS CUTHBERT AV 187 FT SE OF HAYWARD AV",1000.00,646.24,646.24,City,,
209,"**SWS ECHODALE AV 1155-7 FT E OF HARFORD RD",6700.00,420.44,420.44,City,,
210,"**SWS HUTTON AV 60 FT NW OF TALBOTT ST",8000.00,516.75,516.75,City,,
211,"**SWS HUTTON AVE 360 FT NW OF TALBOT ST",12000.00,326.38,326.38,City,,
212,"**SWS HUTTON AVE 440 FT NW OF TALBOT ST",11200.00,305.34,305.34,City,,
213,"**SWS IVY AV 264-10 FT SW OF MONTEBELLO TER",10700.00,292.10,292.10,City,,
215,"**SWS REISTERSTOWN RD 203-2 FT NW OF SHIRLEY AV",13000.00,410.19,451.00,372,0.00,410.19
216,"**SWS STANWOOD AV 80 FT SE OF BELAIR RD",25300.00,374.30,751.00,372,0.00,374.30
217,"**SWS STOKES DR SWC ALLENDALE ST",4700.00,298.14,298.14,City,,
218,"**SWS WHITE AV 478-7 FT NW OF BELAIR RD",14200.00,533.94,533.94,City,,
220,"**SWS 10 FT ALLEY 1ST SW MONTPELIER ST REAR OF 1735-",500.00,2698.36,2698.36,City,,
221,"**SWS 12 FT ALLEY 1ST SW OF WALNUT AV 115 FT SE OF R",5000.00,316.80,316.80,City,,
222,"**SWS 14 FT ALLEY 1ST SW OF NORTH HILL ROAD REAR 954",3800.00,373.54,373.54,City,,
223,"**SWS 15 FT ALLEY 1ST SW PELHAM AVE REAR 2741-2743 P",1000.00,328.90,328.90,City,,
224,"**SWS 16 FT ALLEY 1ST SW OF WICKLOW RD 1022 WICKLOW",300.00,602.85,602.85,City,,
225,"**SWS 17 FT ALLEY 1ST SW OF POTTER ST REAR 4229 POTT",2300.00,409.28,409.28,City,,
226,"**SWS 20 FT ALLEY 1ST SW OF ECHODALE AV 3003 ECHODAL",4800.00,304.36,304.36,City,,
227,"**SWS 20 FT ALLEY 1ST SW OF WILLOW AV REAR 515-17 WI",3000.00,310.84,310.84,City,,
228,"**W END 15 FT ALLEY 1ST N HARWOOD AVE REAR 514 HARWO",11100.00,7978.17,7978.17,City,,
229,"**WS APPLETON ST 285-3 FT N OF RIGGS AV",1900.00,1130.38,1130.38,City,,
230,"**WS CASADEL AV NWC MAULDIN AV",1700.00,1942.06,1942.06,City,,
231,"**WS CASADEL AV 150 FT S OF DELMONT AV",2300.00,2387.12,2387.12,City,,
232,"**WS CHELSEA RD 260 FT N OF NORTONIA RD",4300.00,3349.42,3349.42,City,,
233,"**WS COLLEGE AV 230 FT SW OF MONTEBELLO TER",11100.00,2679.91,2701.00,148,0.00,2679.91
234,"**WS COLLEGE AVE SWC E COLDSPRING LA",5200.00,524.22,524.22,City,,
235,"**WS CURTIS AV SWC E PATAPSCO AV",86300.00,1500.00,3500.00,349,0.00,1500.00
236,"**WS DENNISON ST 122'N W NORTH AVE",0.00,7705.02,7705.02,City,,
237,"**WS DERBY RD 258 FT W OF GORDON RD",11000.00,361.80,502.00,148,0.00,361.80
238,"**WS EAST WABASH AVE NWC RIDGEWOOD AV",31900.00,1428.02,1428.02,City,,
239,"**WS FAIRHAVEN AV SWC OLMSTEAD ST 0000",9400.00,532.68,532.68,City,,
240,"**WS HURON ST 215-6S BROHAWN AVE",42400.00,1127.82,1127.82,City,,
241,"**WS LEVIN RD 160 FT N OF MEADOW RD",11400.00,315.54,315.54,City,,
242,"**WS LEVIN RD 185 FT N OF MEADOW RD",11400.00,315.54,315.54,City,,
243,"**WS LEVIN RD 210 FT N OF MEADOW RD",11400.00,315.54,315.54,City,,
244,"**WS LEVIN RD 235 FT N OF MEADOW RD",11400.00,461.51,461.51,City,,
245,"**WS LEVIN RD 260 FT N OF MEADOW RD",11400.00,315.54,315.54,City,,
246,"**WS N HAVEN ST 134-8 FT N OF E BALTIMORE ST",0.00,442.79,442.79,City,,
247,"**WS N MILTON AV 110 FT S OF NORTH AV",10500.00,296.45,296.45,City,,
248,"**WS OF N ROSE STREET 26-11 N OF SINCLAIR LANE REAR",36100.00,1938.58,1938.58,City,,
249,"**WS S BOULDIN ST SWC LEVERTON AV",138500.00,3293.02,16000.00,349,0.00,3293.02
250,"**WS S DURHAM ST 75 FT S OF E BALTIMORE ST",60000.00,91948.71,91948.71,City,,
251,"**WS THE ALAMEDA SEC E 35TH ST",7800.00,259.68,259.68,City,,
252,"**WS YORK RD 99-6 FT S OF MARLOW PATH",104633.00,2939.24,7201.00,372,0.00,2939.24
253,"**WS 10 FT ALLEY 1ST E OF HOPE ST REAR 1917-19 HOPE",1000.00,1947.50,1947.50,City,,
254,"**WS 10 FT ALLEY 1ST NW BOARMAN AV REAR 3003-05 COLD",12000.00,382.77,507.00,148,0.00,382.77
256,"**WS 15 FT ALLEY 1ST W OF GRANTLEY ST 284 FT N OF ED",1300.00,619.40,619.40,City,,
257,"**WS 15 FT ALLEY 1ST W OF PELHAM AV REAR 3533 PELHAM",2900.00,300.61,300.61,City,,
258,"**WS 20 FT ALLEY 1ST W OF CONKLING ST 255-3 FT N FAY",1400.00,748.65,748.65,City,,
259,"**WS 20 FT ALLEY 1ST W OF POPLAR GROVE ST 912-32 POP",30000.00,843.97,843.97,City,,
260,"**WS 20 FT ALLEY 1ST W OLD YORK RD REAR 3514-3520 OL",29900.00,2874.05,2874.05,City,,
261,"**WS 31 FT ALLEY 1ST W OF ALLENDALE ST 177-11 FT N O",300.00,486.73,486.73,City,,
262,"**WS 31 FT ALLEY 1ST W OF ALLENDALE ST 187-3 FT N OF",300.00,2609.05,2609.05,City,,
263,"**WS 31 FT ALLEY 1ST W OF ALLENDALE ST 289 FT N OF E",300.00,592.55,592.55,City,,
264,"1507 ABBOTSTON ST",5000.00,58278.76,58278.76,City,,
265,"1516 ABBOTSTON ST",15000.00,352.31,352.31,City,,
266,"1521 ABBOTSTON ST",15000.00,420.78,420.78,City,,
267,"1528 ABBOTSTON ST",5000.00,349.19,349.19,City,,
268,"1536 ABBOTSTON ST",5000.00,688.92,688.92,City,,
269,"1571 ABBOTSTON ST",5000.00,26791.92,26791.92,City,,
270,"1601 ABBOTSTON ST",1000.00,11430.38,11430.38,City,,
271,"1608 ABBOTSTON ST",15000.00,405.46,405.46,City,,
272,"1615 ABBOTSTON ST",5000.00,64890.97,64890.97,City,,
273,"1632-1634 ABBOTSTON ST",1000.00,69907.53,69907.53,City,,
274,"1635 ABBOTSTON ST",5000.00,41639.93,41639.93,City,,
275,"1639 ABBOTSTON ST",1000.00,3112.02,3112.02,City,,
276,"1653 ABBOTSTON ST",1000.00,89000.31,89000.31,City,,
277,"1659 ABBOTSTON ST",1000.00,28691.47,28691.47,City,,
278,"1704 ABBOTSTON ST",5000.00,17408.31,17408.31,City,,
279,"1718 ABBOTSTON ST",1000.00,29730.15,29730.15,City,,
280,"1723 ABBOTSTON ST",25000.00,669.12,669.12,City,,
281,"1743 ABBOTSTON ST",25000.00,59138.65,59138.65,City,,
