"Adv Number","Property Address","Assessed Value","Face Amount","Winning Bid","Winning Bidder Name","Winning Premium","Winning Amount Due"
50,"**NES ARMSTRONG AV 25 FT S OF RIDGE AV",2700.00,817.32,817.32,City,,
51,"**NES ARMSTRONG AV 250 FT N OF RIDGE AV",3400.00,7786.44,7786.44,City,,
52,"**NES ARMSTRONG AV 50 FT S OF RIDGE AV",2700.00,817.32,817.32,City,,
53,"**NES ARMSTRONG AVE SEC RIDGE AVE",2700.00,817.32,817.32,City,,
54,"**NES BENHURST RD 110-1 SE TEMPLE GATE",0.00,1036.62,1036.62,City,,
55,"**NES CARSWELL ST 16 FT NW OF POLK ST",1000.00,149281.03,149281.03,City,,
56,"**NES CARSWELL ST 48 FT NW OF POLK ST",1000.00,58623.98,58623.98,City,,
60,"**NES MARX AVE 140-4 FT NW OF BELAIR RD",1200.00,5077.52,5077.52,City,,
61,"**NES ORLANDO AV 1059-6FT SE OF HARFORD RD",2000.00,361.74,361.74,153,0.00,361.74
63,"**NES 10 FT ALLEY 1ST NE OF CLIFTON PK. TER 139-9 FT",1000.00,3221.50,3221.50,City,,
65,"**NES 12 FT ALLEY 1ST NE OF ERDMAN AV 126FT NW OF PA",1700.00,476.98,476.98,City,,
68,"**NES 15 FT ALLEY 1ST NE SEQUOIA AV REAR 3246 SEQUOI",1600.00,1579.85,1579.85,City,,
71,"**NS E NORTH AV 184-3 FT W OF ST. PAUL ST",48800.00,482.79,482.79,346,0.00,482.79
73,"**NS E 33RD ST 215 FT EAST OF OLD YORK RD",9000.00,908.54,908.54,City,,
74,"**NS E 36TH ST 114 FT W OF OLD YORK RD",100.00,541.90,541.90,City,,
77,"**NS GROVELAND AV NEC N ROGERS AV",12700.00,96030.22,96030.22,City,,
80,"**NS HOLLINS ST NEC WARWICK AV",1800.00,2287.64,2287.64,City,,
85,"**NS MOSHER ST NEC WHITEMORE AV",5300.00,10088.13,10088.13,City,,
86,"**NS MULLINS ST REAR 1322-30 N FULTON AV",1000.00,17029.99,17029.99,City,,
87,"**NS W GARRISON AV 217-3 FT NE OF ELMER AV",1000.00,9706.34,9706.34,City,,
89,"**NS W PATAPSCO AV NWC PATAPSCO RIVER",215800.00,201926.37,201926.37,City,,
90,"**NS WOODBOURNE AV 174-3 FT W OF NORTHWOOD DR",3700.00,1169.89,1169.89,City,,
91,"**NS 10 FT ALLEY N OF ROLLINS AVE 178-8 FT W OF GRAN",700.00,385.57,385.57,City,,
93,"**NS 10 FT ALLEY 1ST N OF FAIRMOUNT AV REAR 0000 273",16900.00,517.87,517.87,City,,
94,"**NS 10 FT ALLEY 1ST N OF PRESBURY ST 158 FT E OF N",3000.00,6934.07,6934.07,City,,
95,"**NS 10 FT ALLEY 1ST S OF ORLEANS ST REAR 227-29 N C",73300.00,12914.46,12914.46,City,,
98,"**NS 15 FT ALLEY 1ST E OF READY AVE REAR 5601-25 REA",11900.00,11233.04,11233.04,City,,
99,"**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2614-18 FE",4100.00,3574.09,3574.09,City,,
100,"**NS 15 FT ALLEY 1ST N OF FEDERAL ST REAR 2620-22 FE",2600.00,1853.11,1853.11,City,,
102,"**NS 16 FT ALLEY 1ST N OF DULANY ST 94-3 FT E OF PRI",400.00,1974.83,1974.83,City,,
103,"**NS 20 FT ALLEY 1ST N OF CLIFTON AV REAR 2100-02 N",16200.00,11480.70,11480.70,City,,
106,"**NS 20 FT LANE 1ST NE OF PICKWICK RD REAR 2533 PICK",10600.00,4609.77,4609.77,346,0.00,4609.77
107,"**NS 20FT ALLEY 1ST N OF W LANVALE ST 95 FT E OF DUK",1100.00,5671.01,5671.01,City,,
112,"**NWS GLEN FALLS AV 616-11 FT SW OF POWELL",2000.00,3641.45,3641.45,City,,
116,"**NWS RIDGE AV 110 FT NE OF ARMSTRONG AV",800.00,682.40,682.40,City,,
117,"**NWS WALTHER AV NEC WINTHROPE AV",11800.00,1245.98,1245.98,153,0.00,1245.98
118,"**NWS WINTHROPE AV 787-6 FT N OF KEENE AV",12400.00,902.22,902.22,City,,
119,"**NWS 10 FT ALLEY 1ST NW OF TIOGA PKWY 139-5 FT SW O",1400.00,735.63,735.63,City,,
120,"**NWS 10 FT ALLEY 1ST NW OF W BELVEDERE AV 85-6 FT N",9400.00,843.27,843.27,City,,
121,"**NWS 15 FT ALLEY 1ST NW OF GWYNNS FALLS0000Y REAR 3",4000.00,1572.23,1572.23,City,,
125,"**REAR NWS LEHMAN ST REAR 2652 LEHMAN ST",1000.00,690.08,690.08,City,,
126,"**REAR NWS SPRING AV REAR 4400 SPRING AV",100.00,21967.60,21967.60,City,,
127,"**REAR SES OLYMPIA AV REAR 3309 OLYMPIA AV",300.00,639.89,639.89,City,,
135,"**SES ASHTON ST 238 FT E OF MILLINGTON AV",7000.00,3065.34,3065.34,City,,
136,"**SES BELAIR RD SEC ROSE ST",1000.00,772.49,772.49,City,,
137,"**SES BELAIR RD 151-11NE VONDERHORST LA",1000.00,772.49,772.49,City,,
138,"**SES HILL ST 135'S WINDER ST",18100.00,562.06,562.06,City,,
140,"**SES VINEWOOD PL 200' S OVERCREST AVE",11700.00,381.52,381.52,476,0.00,381.52
141,"**SES 10 FT ALLEY 1ST SE OF PHELPS LA REAR 3231-43 P",7400.00,1903.49,1903.49,City,,
142,"**SES 10 FT ALLEY 1ST SE OF RICHMOND AV REAR 3325 RI",1300.00,1269.90,1269.90,City,,
144,"**SES 15 FT ALLEY 1ST E OF WABASH AV REAR 3515 WABAS",1700.00,12577.21,12577.21,City,,
145,"**SES 15 FT ALLEY 1ST E OF WABASH AV REAR 3603 WABAS",1700.00,559.93,559.93,City,,
146,"**SES 15' ALLEY 1ST SE PARKLAWN AVE REAR 3521/25 PAR",3900.00,19176.05,19176.05,City,,
147,"**SES 16 FT ALLEY 1ST N OF GLENMORE AV 179 FT NE OF",13200.00,423.82,423.82,City,,
148,"**SES 18 FT ALLEY 1ST W OF AIKEN ST REAR 1802 AIKEN",1000.00,8192.67,8192.67,City,,
150,"**SES 20 FT ALLEY 1ST SE OF WOODHAVEN AV 702-8FT SW",1000.00,653.19,653.19,City,,
162,"**SS ELMTREE ST 180 FT W OF FAIRHAVEN AV",4000.00,2672.27,2672.27,City,,
163,"**SS FLEET ST 100 FT E OF TOLNA ST",8400.00,591.25,591.25,City,,
164,"**SS HAZELWOOD AV 425 FT E OF WHITE AV",10100.00,1919.10,1919.10,City,,
165,"**SS MCCABE AV 343-7 FT W OF MIDWOOD AV",11000.00,361.80,361.80,City,,
170,"**SS OF E. PRESTON ST. SEC OF WILCOX ST.",1000.00,6469.70,6469.70,City,,
185,"**SS 10 FT ALLEY 2ND N OF LAFAYETTE AV REAR 1326 W L",1000.00,398.50,398.50,City,,
186,"**SS 10FT AL 1ST S OF W NORTH AVE 115 FT W OF N SMAL",2200.00,7439.96,7439.96,City,,
187,"**SS 12 FT ALLEY 1ST S OF E COLD SPRING LA 76-10 FT",1600.00,374.56,374.56,City,,
188,"**SS 15 FT ALLEY 1ST N OF EDMONDSON AV 100 FT W OF H",1000.00,881.19,881.19,City,,
189,"**SS 15 FT ALLEY 1ST S CROFTON RD 0000 REAR 1301-61",100.00,482.79,482.79,City,,
190,"**SS 15 FT ALLEY 1ST S OF MOSHER ST REAR 2415-17 MOS",2100.00,578.88,578.88,City,,
194,"**SS 15 FT ALLEY 1ST S OFEDGECOMBE CIRCLE SOUTH REAR",500.00,604.64,604.64,City,,
195,"**SS 15 FT ALLEY 2ND N OF WINDSOR A0000 3110-20 WIND",10700.00,19063.65,19063.65,City,,
197,"**SS 20 FT ALLEY 1ST S GWYNNS FALLS PKWY 220-9 FT E",1900.00,777.69,777.69,City,,
198,"**SS 20 FT ALLEY 1ST S OF GWYNNS FALLS PKWY REAR 312",4300.00,35532.16,35532.16,City,,
201,"**SWS ARMSTRONG AV 125 FT S OF SPRING AV",2700.00,817.32,817.32,City,,
202,"**SWS ARMSTRONG AV 225 FT S OF SPRING AV",2700.00,817.32,817.32,City,,
203,"**SWS ARMSTRONG AV 250 FT S OF SPRING AV",2700.00,817.32,817.32,City,,
204,"**SWS ARMSTRONG AV 275 FT S OF SPRING AV",5400.00,8260.23,8260.23,City,,
207,"**SWS CLIFTVIEW AV 42 FT SE OF SHERWOOD AV",1000.00,2362.04,2362.04,City,,
208,"**SWS CUTHBERT AV 187 FT SE OF HAYWARD AV",1000.00,646.24,646.24,City,,
218,"**SWS WHITE AV 478-7 FT NW OF BELAIR RD",14200.00,533.94,533.94,476,0.00,533.94
220,"**SWS 10 FT ALLEY 1ST SW MONTPELIER ST REAR OF 1735-",500.00,2698.36,2698.36,City,,
224,"**SWS 16 FT ALLEY 1ST SW OF WICKLOW RD 1022 WICKLOW",300.00,602.85,602.85,City,,
225,"**SWS 17 FT ALLEY 1ST SW OF POTTER ST REAR 4229 POTT",2300.00,409.28,409.28,City,,
228,"**W END 15 FT ALLEY 1ST N HARWOOD AVE REAR 514 HARWO",11100.00,7978.17,7978.17,City,,
229,"**WS APPLETON ST 285-3 FT N OF RIGGS AV",1900.00,1130.38,1130.38,City,,
230,"**WS CASADEL AV NWC MAULDIN AV",1700.00,1942.06,1942.06,City,,
231,"**WS CASADEL AV 150 FT S OF DELMONT AV",2300.00,2387.12,2387.12,City,,
232,"**WS CHELSEA RD 260 FT N OF NORTONIA RD",4300.00,3349.42,3349.42,443,0.00,3349.42
234,"**WS COLLEGE AVE SWC E COLDSPRING LA",5200.00,524.22,524.22,476,0.00,524.22
236,"**WS DENNISON ST 122'N W NORTH AVE",0.00,7705.02,7705.02,City,,
239,"**WS FAIRHAVEN AV SWC OLMSTEAD ST 0000",9400.00,532.68,532.68,346,0.00,532.68
248,"**WS OF N ROSE STREET 26-11 N OF SINCLAIR LANE REAR",36100.00,1938.58,1938.58,City,,
250,"**WS S DURHAM ST 75 FT S OF E BALTIMORE ST",60000.00,91948.71,91948.71,City,,
253,"**WS 10 FT ALLEY 1ST E OF HOPE ST REAR 1917-19 HOPE",1000.00,1947.50,1947.50,City,,
256,"**WS 15 FT ALLEY 1ST W OF GRANTLEY ST 284 FT N OF ED",1300.00,619.40,619.40,City,,
258,"**WS 20 FT ALLEY 1ST W OF CONKLING ST 255-3 FT N FAY",1400.00,748.65,748.65,346,0.00,748.65
261,"**WS 31 FT ALLEY 1ST W OF ALLENDALE ST 177-11 FT N O",300.00,486.73,486.73,City,,
262,"**WS 31 FT ALLEY 1ST W OF ALLENDALE ST 187-3 FT N OF",300.00,2609.05,2609.05,City,,
263,"**WS 31 FT ALLEY 1ST W OF ALLENDALE ST 289 FT N OF E",300.00,592.55,592.55,City,,
269,"1571 ABBOTSTON ST",5000.00,26791.92,26791.92,City,,
270,"1601 ABBOTSTON ST",1000.00,11430.38,11430.38,City,,
273,"1632-1634 ABBOTSTON ST",1000.00,69907.53,69907.53,City,,
276,"1653 ABBOTSTON ST",1000.00,89000.31,89000.31,City,,
277,"1659 ABBOTSTON ST",1000.00,28691.47,28691.47,City,,
279,"1718 ABBOTSTON ST",1000.00,29730.15,29730.15,City,,
281,"1743 ABBOTSTON ST",25000.00,59138.65,59138.65,City,,
297,"0026 N ABINGTON AVE",56967.00,21835.40,21835.40,City,,
303,"0107 S ADDISON ST",6000.00,17451.07,17451.07,City,,
313,"1837 AIKEN ST",1000.00,69911.27,69911.27,City,,
315,"2144 AIKEN ST",21000.00,12165.92,12165.92,City,,
377,"2919 ALEXANDER AVE",123300.00,12294.41,12294.41,148,0.00,12294.41
388,"4740 ALHAMBRA AVE",77767.00,31868.67,31868.67,City,,
440,"0521 ALLENDALE ST",78133.00,64155.66,64155.66,City,,
553,"0606 APPLETON ST",14000.00,10732.16,10732.16,City,,
555,"0713 APPLETON ST",4333.00,81950.03,81950.03,City,,
556,"0715 APPLETON ST",4333.00,61217.01,61217.01,City,,
557,"0718 APPLETON ST",4333.00,14742.31,14742.31,City,,
559,"0725 APPLETON ST",4333.00,22899.14,22899.14,City,,
563,"0900 APPLETON ST",4333.00,20134.03,20134.03,City,,
564,"0902 APPLETON ST",4333.00,13224.00,13224.00,City,,
565,"0904 APPLETON ST",4333.00,330.87,330.87,503,0.00,330.87
567,"1020 APPLETON ST",14000.00,8163.28,8163.28,City,,
568,"1028 APPLETON ST",4333.00,15145.14,15145.14,City,,
584,"1714 APPLETON ST",21000.00,33067.27,33067.27,City,,
585,"1717 APPLETON ST",5000.00,45334.51,45334.51,City,,
647,"0509 N ARLINGTON AVE",4000.00,63450.02,63450.02,City,,
648,"0517 N ARLINGTON AVE",32000.00,29569.03,29569.03,City,,
653,"0920 N ARLINGTON AVE",5000.00,30417.68,30417.68,City,,
659,"6618 ARMSTRONG AVE",5400.00,8721.61,8721.61,City,,
690,"3003 ARUNAH AVE",60033.00,32894.26,32894.26,City,,
718,"0616 ASHBURTON ST",5667.00,28973.76,28973.76,City,,
725,"1021 ASHBURTON ST",3000.00,8420.13,8420.13,City,,
726,"1033 ASHBURTON ST",30000.00,85595.05,85595.05,City,,
728,"1117 ASHBURTON ST",3000.00,11550.49,11550.49,City,,
746,"1814 ASHBURTON ST",36000.00,21126.61,21126.61,City,,
799,"4118 AUDREY AVE",19000.00,7530.41,7530.41,453,0.00,7530.41
809,"4224 AUDREY AVE",57300.00,30810.77,30810.77,City,,
828,"0020 S AUGUSTA AVE",10000.00,104372.60,104372.60,City,,
837,"0448 S AUGUSTA AVE",109100.00,73432.74,73432.74,City,,
838,"0465 S AUGUSTA AVE",3700.00,5622.05,5622.05,City,,
872,"2107 BAKER ST",9000.00,159825.17,159825.17,City,,
883,"2703 BAKER ST",30000.00,29072.67,29072.67,City,,
910,"3110 BAKER ST",5667.00,81537.61,81537.61,City,,
913,"3133 BAKER ST",5667.00,15985.79,15985.79,City,,
916,"3141 BAKER ST",25000.00,68679.41,68679.41,City,,
926,"0522 BALTIC AVE",40000.00,9918.23,9918.23,City,,
1149,"2257 W BALTIMORE ST",10200.00,43580.15,43580.15,City,,
1151,"2304 W BALTIMORE ST",17000.00,22953.49,22953.49,City,,
1157,"2414 W BALTIMORE ST",30000.00,11691.00,11691.00,City,,
1163,"2450 W BALTIMORE ST",5000.00,41262.97,41262.97,City,,
1164,"2452 W BALTIMORE ST",6000.00,495.85,495.85,331,0.00,495.85
1166,"2519 W BALTIMORE ST",15800.00,14630.70,14630.70,City,,
1233,"4014 BAREVA ROAD",122900.00,122510.57,122510.57,City,,
1275,"4013 BATEMAN AVE",10900.00,280704.58,280704.58,City,,
1300,"4715 BEAUFORT AVE",20000.00,76396.37,76396.37,City,,
1307,"5008 BEAUFORT AVE",2333.00,38649.31,38649.31,City,,
1308,"5010 BEAUFORT AVE",2333.00,23670.64,23670.64,City,,
1310,"5207 BEAUFORT AVE",4000.00,3376.21,3376.21,City,,
1311,"5210 BEAUFORT AVE",21000.00,4154.13,4154.13,295,0.00,4154.13
1316,"0507 BEAUMONT AVE",23000.00,94883.52,94883.52,City,,
1321,"0818 BEAUMONT AVE",98200.00,9849.08,9849.08,46,0.00,9849.08
1378,"4331 BELAIR ROAD",35300.00,14611.70,14611.70,335,0.00,14611.70
1478,"2904 BELMONT AVE",10200.00,10865.78,10865.78,City,,
1480,"2911 BELMONT AVE",11000.00,25990.47,25990.47,City,,
1484,"2937 BELMONT AVE",11000.00,78535.34,78535.34,City,,
1487,"3008 BELMONT AVE",10200.00,21188.51,21188.51,City,,
1488,"3012 BELMONT AVE",25000.00,15675.80,15675.80,City,,
1526,"0824 N BELNORD AVE",12000.00,25303.57,25303.57,City,,
1553,"3113 W BELVEDERE AVE",1000.00,16148.34,16148.34,City,,
1565,"3400 W BELVEDERE AVE",17000.00,15886.69,15886.69,City,,
1580,"4701 W BELVEDERE AVE",166700.00,75574.93,75574.93,City,,
1612,"0903 BENNETT PL",4000.00,8730.93,8730.93,City,,
1620,"0934 BENNETT PL",3333.00,5496.14,5496.14,401,0.00,5496.14
1623,"0951 BENNETT PL",4000.00,40780.97,40780.97,City,,
1647,"0010 N BENTALOU ST",17000.00,8446.03,8446.03,City,,
1648,"0013 N BENTALOU ST",10200.00,8144.52,8144.52,City,,
1649,"0015 N BENTALOU ST",3000.00,19012.35,19012.35,City,,
1683,"1616 N BENTALOU ST",21000.00,7419.18,7419.18,295,0.00,7419.18
1687,"1642 N BENTALOU ST",34000.00,3928.90,3928.90,City,,
1704,"0203 S BENTALOU ST",15000.00,2572.02,2572.02,349,0.00,2572.02
1709,"0330 S BENTALOU ST",15000.00,15698.98,15698.98,City,,
1711,"0346 S BENTALOU ST",29000.00,17332.68,17332.68,City,,
1713,"0353 S BENTALOU ST",15000.00,22144.77,22144.77,City,,
1717,"0414 S BENTALOU ST",29000.00,58651.51,58651.51,City,,
1723,"0480 S BENTALOU ST",29000.00,1859.65,1859.65,335,0.00,1859.65
1749,"0026 N BERNICE AVE",73700.00,28040.94,28040.94,City,,
1786,"1400 N BETHEL ST",0.00,328.49,328.49,254,0.00,328.49
1790,"1710 N BETHEL ST",8100.00,126156.58,126156.58,City,,
1791,"1712 N BETHEL ST",8100.00,71684.12,71684.12,City,,
1792,"1714 N BETHEL ST",8100.00,25789.95,25789.95,City,,
1842,"2513 E BIDDLE ST",7000.00,26725.75,26725.75,City,,
1846,"2523 E BIDDLE ST",19000.00,20796.17,20796.17,City,,
1912,"3903 BOARMAN AVE",110100.00,29950.40,29950.40,City,,
1918,"4001 BOARMAN AVE",144200.00,91900.36,91900.36,City,,
1982,"1804 N BOND ST",3000.00,2772.26,2772.26,City,,
2027,"2721 BOOKERT DR",24000.00,8549.24,8549.24,City,,
2045,"1901 BOONE ST",1000.00,9194.52,9194.52,City,,
2065,"2121 BOOTH ST",3000.00,118449.64,118449.64,City,,
2069,"2238 BOOTH ST",10200.00,14498.98,14498.98,City,,
2133,"2126 BOYD ST",3000.00,4151.65,4151.65,City,,
2136,"2542 BOYD ST",5000.00,9920.98,9920.98,City,,
2153,"1800 BRADDISH AVE",36000.00,10174.79,10174.79,City,,
2172,"0413 N BRADFORD ST",1600.00,258860.87,258860.87,City,,
2174,"0621 N BRADFORD ST",7000.00,66185.76,66185.76,City,,
2175,"0623 N BRADFORD ST",7000.00,72034.95,72034.95,City,,
2176,"0625 N BRADFORD ST",7000.00,66958.97,66958.97,City,,
2177,"0706 N BRADFORD ST",10200.00,46324.92,46324.92,City,,
2178,"0708 N BRADFORD ST",10200.00,16506.13,16506.13,City,,
2179,"0714 N BRADFORD ST",2000.00,57566.16,57566.16,City,,
2180,"0716 N BRADFORD ST",7000.00,109300.60,109300.60,City,,
2181,"0718 N BRADFORD ST",7000.00,99374.93,99374.93,City,,
2182,"0818 N BRADFORD ST",10200.00,276631.56,276631.56,City,,
2183,"0902 N BRADFORD ST",10200.00,59156.97,59156.97,City,,
2186,"0922 N BRADFORD ST",10200.00,55630.32,55630.32,City,,
2188,"0934 N BRADFORD ST",10200.00,263206.16,263206.16,City,,
2192,"1503 N BRADFORD ST",5000.00,36265.88,36265.88,City,,
2210,"1001 BRANTLEY AVE",1667.00,16074.33,16074.33,City,,
2211,"1010 BRANTLEY AVE",5000.00,50985.29,50985.29,City,,
2217,"1032 BRANTLEY AVE",16033.00,36237.13,36237.13,City,,
2257,"3407 BRENTWOOD AVE",5000.00,9003.24,9003.24,City,,
2302,"0530 BRIDGEVIEW ROAD",24000.00,23542.19,23542.19,City,,
2307,"2902 BRIGHTON ST",5667.00,17074.52,17074.52,City,,
2311,"2916 BRIGHTON ST",25000.00,17278.85,17278.85,City,,
2318,"3104 BRIGHTON ST",25000.00,79116.03,79116.03,City,,
2322,"3118 BRIGHTON ST",25000.00,17072.80,17072.80,City,,
2326,"3211 BRIGHTON ST",25000.00,23750.07,23750.07,City,,
2328,"3304 BRIGHTON ST",25000.00,15219.56,15219.56,355,0.00,15219.56
2329,"3308 BRIGHTON ST",10200.00,25065.94,25065.94,City,,
2415,"0109 N BROADWAY UNIT CO-208",45200.00,850721.72,850721.72,City,,
2452,"1808 N BROADWAY",15000.00,48696.82,48696.82,City,,
2521,"0100 N BRUCE ST",4300.00,1935.81,1935.81,City,,
2522,"0102 N BRUCE ST",3400.00,7260.28,7260.28,City,,
2523,"0104 N BRUCE ST",3400.00,5523.79,5523.79,City,,
2524,"0106 N BRUCE ST",3400.00,5959.13,5959.13,City,,
2525,"0108 N BRUCE ST",3400.00,6203.93,6203.93,City,,
2526,"0227 N BRUCE ST",5667.00,156682.11,156682.11,City,,
2527,"0235 N BRUCE ST",5100.00,37193.76,37193.76,City,,
2529,"0323 N BRUCE ST",5667.00,7187.68,7187.68,City,,
2530,"0334 N BRUCE ST",500.00,13529.49,13529.49,City,,
2532,"0339 N BRUCE ST",17000.00,14317.51,14317.51,City,,
2534,"1406 N BRUCE ST",1000.00,377.50,377.50,City,,
2542,"0332 S BRUCE ST",7000.00,11919.54,11919.54,City,,
2560,"2214 BRYANT AVE",75500.00,15675.55,15675.55,City,,
2562,"2218 BRYANT AVE",133900.00,112137.32,112137.32,City,,
2567,"2325 BRYANT AVE",35400.00,5736.92,5736.92,City,,
2596,"0018 N CALHOUN ST",11300.00,73240.68,73240.68,City,,
2597,"0020 N CALHOUN ST",15000.00,63608.75,63608.75,City,,
2600,"0514 N CALHOUN ST",12000.00,78176.53,78176.53,City,,
2601,"0515 N CALHOUN ST",3000.00,14508.05,14508.05,City,,
2602,"0517 N CALHOUN ST",3000.00,42748.22,42748.22,City,,
2603,"0518 N CALHOUN ST",3000.00,6237.63,6237.63,City,,
2609,"0705 N CALHOUN ST",5000.00,3533.99,3533.99,City,,
2611,"0905 N CALHOUN ST",5667.00,12097.86,12097.86,City,,
2613,"1300 N CALHOUN ST",1000.00,10514.75,10514.75,City,,
2618,"1382 N CALHOUN ST",4000.00,11167.14,11167.14,City,,
2624,"1720 N CALHOUN ST",3000.00,7967.26,7967.26,City,,
2625,"1732 N CALHOUN ST",3000.00,410.93,410.93,296,0.00,410.93
2640,"0228 S CALHOUN ST",38000.00,19247.85,19247.85,City,,
2647,"0412 S CALHOUN ST",6333.00,9233.80,9233.80,City,,
2660,"2422 CALLOW AVE",2600.00,11031.14,11031.14,City,,
2743,"2403 CALVERTON HEIGHTS AVE",25500.00,16406.24,16406.24,260,0.00,16406.24
2748,"2502 CALVERTON HEIGHTS AVE",25500.00,21800.66,21800.66,City,,
2753,"2522 CALVERTON HEIGHTS AVE",24900.00,13480.89,13480.89,260,0.00,13480.89
2761,"0017 S CALVERTON ROAD",3000.00,501.99,501.99,299,0.00,501.99
2802,"0510 N CAREY ST",3000.00,63897.06,63897.06,City,,
2804,"0517 N CAREY ST",4000.00,7232.93,7232.93,City,,
2807,"0529 N CAREY ST",4000.00,37314.59,37314.59,City,,
2808,"0535 N CAREY ST",4000.00,45001.55,45001.55,City,,
2809,"0537 N CAREY ST",4000.00,47811.55,47811.55,City,,
2813,"0608 N CAREY ST",5000.00,87596.30,87596.30,City,,
2817,"0618 N CAREY ST",5000.00,16727.16,16727.16,City,,
2818,"0626 N CAREY ST",5000.00,11850.81,11850.81,City,,
2819,"0631 N CAREY ST",1000.00,147477.32,147477.32,City,,
2820,"0633 N CAREY ST",1000.00,150447.31,150447.31,City,,
2821,"0635 N CAREY ST",1000.00,85467.42,85467.42,City,,
2829,"0823 N CAREY ST",1000.00,133347.71,133347.71,City,,
2837,"1101 N CAREY ST",5000.00,581.90,581.90,503,0.00,581.90
2838,"1102 N CAREY ST",1000.00,153068.83,153068.83,City,,
2839,"1103 N CAREY ST",5000.00,4760.37,4760.37,City,,
2842,"1111 N CAREY ST",5000.00,1225.58,1225.58,98,0.00,1225.58
2846,"1136 N CAREY ST",16200.00,8870.79,8870.79,City,,
2877,"1712 N CAREY ST",3000.00,3120.32,3120.32,City,,
2878,"1714 N CAREY ST",21000.00,12587.06,12587.06,City,,
2880,"1718 N CAREY ST",21000.00,959.93,959.93,503,0.00,959.93
2881,"1720 N CAREY ST",3000.00,3546.64,3546.64,City,,
3029,"1539 CARSWELL ST",1000.00,141519.21,141519.21,City,,
3041,"1633 CARSWELL ST",1000.00,96866.14,96866.14,City,,
3042,"1634 CARSWELL ST",1000.00,80839.62,80839.62,City,,
3043,"1638 CARSWELL ST",1000.00,59528.90,59528.90,City,,
3044,"1644 CARSWELL ST",1000.00,14931.07,14931.07,City,,
3045,"1700 CARSWELL ST",1000.00,10830.81,10830.81,City,,
3054,"1743 CARSWELL ST",5000.00,102554.53,102554.53,City,,
3061,"1912 CASADEL AVE",109700.00,15663.35,15663.35,46,0.00,15663.35
3100,"0114 S CATHERINE ST",1000.00,82295.17,82295.17,City,,
3105,"0217 S CATHERINE ST",15800.00,9621.44,9621.44,City,,
3121,"3508 W CATON AVE",23800.00,7381.96,7381.96,421,0.00,7381.96
3128,"0722 CATOR AVE",3800.00,3631.99,3631.99,City,,
3132,"0813 CATOR AVE",91500.00,21040.22,21040.22,City,,
3140,"1918 CECIL AVE",12000.00,1593.47,1593.47,225,0.00,1593.47
3141,"1919 CECIL AVE",12000.00,28940.91,28940.91,City,,
3148,"2220 CECIL AVE",30000.00,31446.26,31446.26,City,,
3205,"5412 CEDELLA AVE",12000.00,10165.56,10165.56,City,,
3212,"2224 CEDLEY ST",25000.00,6200.02,6200.02,550,0.00,6200.02
3243,"1229 N CENTRAL AVE",1000.00,106074.67,106074.67,City,,
3244,"1231 N CENTRAL AVE",1000.00,132134.85,132134.85,City,,
